system,plant,horizon,state_index,barrier_stage,newton_iteration,barrier_weight,preconditioned_weyl_lower,preconditioned_weyl_upper,preconditioned_exact_lower,preconditioned_exact_upper,interval_chebyshev_degree,raw_gradient_norm,preconditioned_gradient_norm
1172,damped_oscillator,60,1,0,10,0.1,0.37842147354666855,42.06933518648516,0.41410927599363817,25.855542646694552,20,0.008708877466824185,0.010757267155708556
1173,damped_oscillator,60,1,0,11,0.1,0.378513956315483,42.07576742482591,0.41411191192843605,25.855541027923245,20,0.00012396930504634637,0.00015312776411383557
1174,damped_oscillator,60,1,1,0,0.03,0.1487882359544328,25.671978663188597,0.16492225473972827,19.258283326083962,25,1.2915554941195087,1.6122799415686666
1175,damped_oscillator,60,1,1,1,0.03,0.15550122514190193,280734.4094939406,0.16330108016170924,280716.7677842391,2478,73.48190163464483,90.4671125431161
1176,damped_oscillator,60,1,1,2,0.03,0.15469930363772366,71600.90425435132,0.16223636242158251,71583.26264355307,1255,36.56300211638838,45.01439522881805
1177,damped_oscillator,60,1,1,3,0.03,0.1547426184839762,18543.220474193415,0.16228647222857684,18525.57924400468,639,18.048939737867528,22.22084167356882
1178,damped_oscillator,60,1,1,4,0.03,0.1547544865096228,4953.945397849788,0.16229784689273463,4936.305586630195,330,8.776078658946474,10.8045967510218
1179,damped_oscillator,60,1,1,5,0.03,0.15476086712638404,1410.1884071022168,0.16230389176441187,1392.5535849173175,177,4.138164249826984,5.09466246372802
1180,damped_oscillator,60,1,1,6,0.03,0.1547651888354956,455.70324502983254,0.16230806057412164,438.08423601281413,101,1.8301344320767643,2.25315281618227
1181,damped_oscillator,60,1,1,7,0.03,0.15477023258279143,185.45469369324098,0.16231294069401236,167.87743286492054,64,0.7046706965660361,0.8675487090339374
1182,damped_oscillator,60,1,1,8,0.03,0.15477532784618533,105.58854799868658,0.16231784632797008,88.08852233173405,49,0.19812570927078837,0.2439206059542928
1183,damped_oscillator,60,1,1,9,0.03,0.1547780908566887,84.41765879640631,0.1623204954569514,66.98468760440227,44,0.02657483876381929,0.032717363124235045
1184,damped_oscillator,60,1,1,10,0.03,0.15477858230966351,81.48551448262592,0.16232096575492502,64.06733988102026,43,0.0007262527523077831,0.0008941192542528838
